Line,GN_mean
Line000,142.8833334
Line001,116.0666667
Line002,118.15
Line003,154.45
Line004,128.8166667
Line005,100.3166667
Line006,79.21666666
Line007,159.1333334
Line008,122.8833333
Line009,134.4
Line010,82.16666667
Line011,153.7833334
Line012,103.6666667
Line013,133.6
Line014,162.6
Line015,130.7
Line016,121.8333333
Line017,158.3
Line018,138.6166667
Line019,108.4
Line020,133.6333334
Line021,117.15
Line022,173.8
Line023,148.4666666
Line024,118.9833333
Line025,195.0166667
Line026,106.8
Line027,107.9
Line028,132.625
Line029,157.9333334
Line030,120.1166667
Line031,138.1
Line032,182.1666667
Line033,141.7833334
Line034,80.5
Line035,98.4
Line036,98.1
Line037,176.2166666
Line038,204.5666667
Line039,117.6833334
Line040,115.5833333
Line041,110.8333333
Line042,170.5333334
Line043,169.7666667
Line044,122.3
Line045,125.3333334
Line046,176.2
Line047,111.4
Line048,111.9
Line049,133.25
Line050,87.5
Line051,155.25
Line052,159.2
Line053,120.2166667
Line054,114
Line055,72
Line056,106.2166667
Line057,173.5166667
Line058,179.2333334
Line059,142.95
Line060,124.5666667
Line061,114.9166667
Line062,80.43333334
Line063,128.1
Line064,69.31666667
Line065,122.5333333
Line066,219.4
Line067,177.3166667
Line068,99.83333333
Line069,73.9
Line070,136.55
Line071,219.3
Line072,150.3
Line073,131.6666667
Line074,116.0166667
Line075,80.51666667
Line076,128.6666667
Line077,97.8
Line078,145.3333333
Line079,118.2
Line080,65.88333334
Line081,190.9
Line082,112.8
Line083,125.2
Line084,107.4166667
Line085,131.5
Line086,151.1
Line087,114.4
Line088,141.1666667
Line089,106.2
Line090,98.86666667
Line091,129.5833334
Line092,133.7833334
Line093,151.4
Line094,161.5
Line095,125.7
Line096,144.9
Line097,97.45
Line098,109.9
Line099,192.0333334
Line100,78.5
Line101,106.1
Line102,95
Line103,245.6666667
Line104,124.9333334
Line105,51.68333334
Line106,91.5
Line107,97.45
Line108,109.075
Line109,96.75
Line110,111.1
Line111,60.65
Line112,105.0333333
Line113,104
Line114,132.6666667
Line115,119.35
Line116,104.6
Line117,131.5166667
Line118,88.6
Line119,137.4833334
Line120,138.6166667
Line121,149.4666667
Line122,100.2166667
Line123,133.6833334
Line124,151.2666667
Line125,127.3833333
Line126,124.4666667
Line127,98.05
Line128,137.6666667
Line129,82.95
Line130,115
Line131,91.025
Line132,146.3
Line133,109.6
Line134,91.15
Line135,141.9333334
Line136,104.5833333
Line137,172.65
Line138,92.26666667
Line139,100.9
Line140,83.73333334
Line141,198.9666666
Line142,144.9666666
Line143,134.4666666
Line144,111
Line145,93.88333334
Line146,98.63333335
Line147,70.8
Line148,75.83333333
Line149,120.4333334
Line150,93.68333334
Line151,105.6166667
Line152,119.9833334
Line153,83.86666667
Line154,108.1666667
Line155,54.13333333
Line156,120.2666666
Line157,207.3666667
Line158,155.325
Line159,221.45
Line160,104
Line161,99.78333334
Line162,148.15
Line163,120
Line164,122.0166666
Line165,130
Line166,116.7
Line167,141
Line168,90.5
Line169,106
Line170,111.2666667
Line171,78.41666667
Line172,81.25
Line173,106.3333333
Line174,56.23333334
Line175,93.33333333
Line176,90.85
Line177,91.25
Line178,102.8166667
Line179,102.4666667
Line180,80.9
Line181,89.33333333
Line182,77.9
Line183,93.125
Line184,67.66666667
Line185,109.1
Line186,76.45
Line187,109.7833333
Line188,109.4
Line189,74.18333334
Line190,83.7
Line191,89.7
Line192,62.43333334
Line193,50.7
Line194,106.1666667
Line195,82.3
Line196,93.71666666
Line197,111.8
Line198,79.93333334
Line199,112.65
Line200,105.1166667
Line201,125.0166666
Line202,87.55
Line203,65.15
Line204,129
Line206,108.6
Line207,106.8
Line208,74.2
Line209,122.6
Line210,121.8
Line211,99.2
Line212,102.2
Line213,133.2
Line214,113.8
Line215,103
Line216,87.6
Line217,77.6
Line218,151.4
Line219,117
Line220,101.4
Line221,100.6666667
Line222,130.2833334
Line223,120.55
Line224,99.91666667
Line225,55.08333334
Line226,123
Line227,124
Line228,62.13333334
Line229,94.93333334
Line230,58.76666667
Line231,81.68333334
Line232,64.71666666
Line233,116.25
Line234,89.1
Line235,172.35
Line236,98.7
Line237,79.15
Line238,88.8
Line239,88.26666667
Line240,81.23333334
Line241,75.85
Line242,95.05
Line243,120.2666667
Line244,138.45
Line245,81.46666666
Line246,67.43333334
Line247,83.01666667
Line248,104.7
Line249,85.01666667
Line250,84.95
Line251,86
Line252,104.6833333
Line253,94.8
Line254,69.73333334
Line255,133.2666667
Line256,101.3333333
Line257,59.2
Line258,192.3
Line259,108.2166667
Line260,82.18333334
Line261,55.1
Line262,163.35
Line263,69.76666667
Line264,122.5333333
Line265,66.53333334
Line266,120.3666667
Line267,110.4333334
Line268,81.11666667
Line269,64.53333334
Line270,78.36666667
Line271,84.91666667
Line272,93.93333335
Line273,66.4
Line274,99.93333334
Line275,62.18333334
Line276,104.5666667
Line277,74.53333334
Line278,102.6666667
Line279,73.53333334
Line280,144.4666666
Line281,123.3166667
Line282,117.7333333
Line283,125.8
